Season,Lg,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,-9999
2022-23,NBA,Nikola Jokić,27,DEN,5,41.2,30.2,14.0,7.2,0.8,1.4,.583,.421,.838,jokicni01
2021-22,NBA,Stephen Curry,33,GSW,6,37.5,31.2,6.0,5.0,2.0,0.2,.482,.437,.857,curryst01
2020-21,NBA,Giannis Antetokounmpo,26,MIL,6,39.8,35.2,13.2,5.0,1.2,1.8,.618,.200,.659,antetgi01
2019-20,NBA,LeBron James,35,LAL,6,39.3,29.8,11.8,8.5,1.2,0.5,.591,.417,.667,jamesle01
2018-19,NBA,Kawhi Leonard,27,TOR,6,40.5,28.5,9.8,4.2,2.0,1.2,.434,.357,.906,leonaka01
2017-18,NBA,Kevin Durant,29,GSW,4,41.3,28.8,10.8,7.5,0.8,2.3,.526,.409,.963,duranke01
2016-17,NBA,Kevin Durant,28,GSW,5,39.8,35.2,8.2,5.4,1.0,1.6,.556,.474,.927,duranke01
2015-16,NBA,LeBron James,31,CLE,7,41.7,29.7,11.3,8.9,2.6,2.3,.494,.371,.721,jamesle01
2014-15,NBA,Andre Iguodala,31,GSW,6,37.0,16.3,5.8,4.0,1.3,0.3,.521,.400,.357,iguodan01
2013-14,NBA,Kawhi Leonard,22,SAS,5,33.4,17.8,6.4,2.0,1.6,1.2,.612,.579,.783,leonaka01
2012-13,NBA,LeBron James,28,MIA,7,43.0,25.3,10.9,7.0,2.3,0.9,.447,.353,.795,jamesle01
2011-12,NBA,LeBron James,27,MIA,5,44.0,28.6,10.2,7.4,1.6,0.4,.472,.188,.826,jamesle01
2010-11,NBA,Dirk Nowitzki,32,DAL,6,40.3,26.0,9.7,2.0,0.7,0.7,.416,.368,.978,nowitdi01
2009-10,NBA,Kobe Bryant,31,LAL,7,41.1,28.6,8.0,3.9,2.1,0.7,.405,.319,.883,bryanko01
2008-09,NBA,Kobe Bryant,30,LAL,5,43.8,32.4,5.6,7.4,1.4,1.4,.430,.360,.841,bryanko01
2007-08,NBA,Paul Pierce,30,BOS,6,38.8,21.8,4.5,6.3,1.2,0.3,.432,.393,.830,piercpa01
2006-07,NBA,Tony Parker,24,SAS,4,37.8,24.5,5.0,3.3,0.8,0.0,.568,.571,.526,parketo01
2005-06,NBA,Dwyane Wade,24,MIA,6,43.5,34.7,7.8,3.8,2.7,1.0,.468,.273,.773,wadedw01
2004-05,NBA,Tim Duncan,28,SAS,7,40.7,20.6,14.1,2.1,0.4,2.1,.419,,.667,duncati01
2003-04,NBA,Chauncey Billups,27,DET,5,38.8,21.0,3.2,5.2,1.2,0.0,.509,.471,.929,billuch01
2002-03,NBA,Tim Duncan,26,SAS,6,44.0,24.2,17.0,5.3,1.0,5.3,.495,.000,.685,duncati01
2001-02,NBA,Shaquille O'Neal,29,LAL,4,41.5,36.3,12.3,3.8,0.5,2.8,.595,,.662,onealsh01
2000-01,NBA,Shaquille O'Neal,28,LAL,5,45.0,33.0,15.8,4.8,0.4,3.4,.573,,.513,onealsh01
1999-00,NBA,Shaquille O'Neal,27,LAL,6,45.7,38.0,16.7,2.3,1.0,2.7,.611,,.387,onealsh01
1998-99,NBA,Tim Duncan,22,SAS,5,45.6,27.4,14.0,2.4,1.0,2.2,.537,.000,.795,duncati01
1997-98,NBA,Michael Jordan,34,CHI,6,41.7,33.5,4.0,2.3,1.8,0.7,.427,.308,.814,jordami01
1996-97,NBA,Michael Jordan,33,CHI,6,42.7,32.3,7.0,6.0,1.2,0.8,.456,.320,.764,jordami01
1995-96,NBA,Michael Jordan,32,CHI,6,42.0,27.3,5.3,4.2,1.7,0.2,.415,.316,.836,jordami01
1994-95,NBA,Hakeem Olajuwon,32,HOU,4,44.8,32.8,11.5,5.5,2.0,2.0,.483,1.000,.692,olajuha01
1993-94,NBA,Hakeem Olajuwon,31,HOU,7,43.1,26.9,9.1,3.6,1.6,3.9,.500,1.000,.860,olajuha01
1992-93,NBA,Michael Jordan,29,CHI,6,45.7,41.0,8.5,6.3,1.7,0.7,.508,.400,.694,jordami01
1991-92,NBA,Michael Jordan,28,CHI,6,42.3,35.8,4.8,6.5,1.7,0.3,.526,.429,.891,jordami01
1990-91,NBA,Michael Jordan,27,CHI,5,44.0,31.2,6.6,11.4,2.8,1.4,.558,.500,.848,jordami01
