Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
2023-24,NBA,Tyrese Maxey,(V),23,PHI,70,37.5,25.9,3.7,6.2,1.0,0.5,.450,.373,.868,8.1,.147,maxeyty01
2022-23,NBA,Lauri Markkanen,(V),25,UTA,66,34.4,25.6,8.6,1.9,0.6,0.6,.499,.391,.875,8.2,.173,markkla01
2021-22,NBA,Ja Morant,(V),22,MEM,57,33.1,27.4,5.7,6.7,1.2,0.4,.493,.344,.761,6.7,.171,moranja01
2020-21,NBA,Julius Randle,(V),26,NYK,71,37.6,24.1,10.2,6.0,0.9,0.3,.456,.411,.811,7.8,.140,randlju01
2019-20,NBA,Brandon Ingram,(V),22,NOP,62,33.9,23.8,6.1,4.2,1.0,0.6,.463,.391,.851,5.1,.115,ingrabr01
2018-19,NBA,Pascal Siakam,(V),24,TOR,80,31.9,16.9,6.9,3.1,0.9,0.7,.549,.369,.785,9.3,.175,siakapa01
2017-18,NBA,Victor Oladipo,(V),25,IND,75,34.0,23.1,5.2,4.3,2.4,0.8,.477,.371,.799,8.2,.155,oladivi01
2016-17,NBA,Giannis Antetokounmpo,(V),22,MIL,80,35.6,22.9,8.8,5.4,1.6,1.9,.521,.272,.770,12.4,.210,antetgi01
2015-16,NBA,CJ McCollum,(V),24,POR,80,34.8,20.8,3.2,4.3,1.2,0.3,.448,.417,.827,6.0,.104,mccolcj01
2014-15,NBA,Jimmy Butler,(V),25,CHI,65,38.7,20.0,5.8,3.3,1.8,0.6,.462,.378,.834,11.2,.214,butleji01
2013-14,NBA,Goran Dragić,(V),27,PHO,76,35.1,20.3,3.2,5.9,1.4,0.3,.505,.408,.760,10.3,.186,dragigo01
2012-13,NBA,Paul George,(V),22,IND,79,37.6,17.4,7.6,4.1,1.8,0.6,.419,.362,.807,9.0,.145,georgpa01
2011-12,NBA,Ryan Anderson,(V),23,ORL,61,32.2,16.1,7.7,0.9,0.8,0.4,.439,.393,.877,8.9,.219,anderry01
2010-11,NBA,Kevin Love,(V),22,MIN,73,35.8,20.2,15.2,2.5,0.6,0.4,.470,.417,.850,11.4,.210,loveke01
2009-10,NBA,Aaron Brooks,(V),25,HOU,82,35.6,19.6,2.6,5.3,0.8,0.2,.432,.398,.822,5.5,.091,brookaa01
2008-09,NBA,Danny Granger,(V),25,IND,67,36.2,25.8,5.1,2.7,1.0,1.4,.447,.404,.878,8.0,.158,grangda01
2007-08,NBA,Hedo Türkoğlu,(V),28,ORL,82,36.9,19.5,5.7,5.0,0.9,0.3,.456,.400,.829,9.0,.143,turkohe01
2006-07,NBA,Monta Ellis,(V),21,GSW,77,34.3,16.5,3.2,4.1,1.7,0.3,.475,.273,.763,4.0,.072,ellismo01
2005-06,NBA,Boris Diaw,(V),23,PHO,81,35.5,13.3,6.9,6.2,0.7,1.0,.526,.267,.731,8.9,.149,diawbo01
2004-05,NBA,Bobby Simmons,(V),24,LAC,75,37.3,16.4,5.9,2.7,1.4,0.2,.466,.435,.846,6.8,.117,simmobo01
2003-04,NBA,Zach Randolph,(V),22,POR,81,37.9,20.1,10.5,2.0,0.8,0.5,.485,.200,.761,7.1,.111,randoza01
2002-03,NBA,Gilbert Arenas,(V),21,GSW,82,35.0,18.3,4.7,6.3,1.5,0.2,.431,.348,.791,6.5,.109,arenagi0
