Rank,Player,PTS
1.,LeBron James,40474
2.,Kareem Abdul-Jabbar*,38387
3.,Karl Malone*,36928
4.,Kobe Bryant*,33643
5.,Michael Jordan*,32292
6.,Dirk Nowitzki*,31560
7.,Wilt Chamberlain*,31419
8.,Julius Erving*,30026
9.,Moses Malone*,29580
10.,Kevin Durant,28924
11.,Shaquille O'Neal*,28596
12.,Carmelo Anthony,28289
13.,Dan Issel*,27482
14.,Elvin Hayes*,27313
15.,Hakeem Olajuwon*,26946
16.,Oscar Robertson*,26710
17.,Dominique Wilkins*,26668
18.,George Gervin*,26595
19.,Tim Duncan*,26496
20.,Paul Pierce*,26397
21.,John Havlicek*,26395
22.,Kevin Garnett*,26071
23.,James Harden,25885
24.,Vince Carter*,25728
25.,Alex English*,25613
26.,Rick Barry*,25279
,Reggie Miller*,25279
28.,Russell Westbrook,25211
29.,Jerry West*,25192
30.,Artis Gilmore*,24941
31.,Patrick Ewing*,24815
32.,Ray Allen*,24505
33.,Allen Iverson*,24368
34.,Charles Barkley*,23757
35.,Stephen Curry,23668
36.,DeMar DeRozan,23582
37.,Robert Parish*,23334
38.,Adrian Dantley*,23177
39.,Dwyane Wade*,23165
40.,Elgin Baylor*,23149
41.,Chris Paul,22288
42.,Clyde Drexler*,22195
43.,Gary Payton*,21813
44.,Larry Bird*,21791
45.,Hal Greer*,21586
46.,Damian Lillard,21151
47.,Walt Bellamy*,20941
48.,Pau Gasol*,20894
49.,Bob Pettit*,20880
50.,David Robinson*,20790
51.,LaMarcus Aldridge,20558
52.,Mitch Richmond*,20497
53.,Joe Johnson,20407
54.,Tom Chambers,20049
55.,Antawn Jamison,20042
56.,John Stockton*,19711
57.,Bernard King*,19655
58.,Clifford Robinson,19591
59.,Walter Davis*,19521
60.,Dwight Howard,19485
61.,Tony Parker*,19473
62.,Terry Cummings,19460
63.,Jamal Crawford,19419
64.,Bob Lanier*,19248
65.,Eddie Johnson,19202
66.,Gail Goodrich*,19181
67.,Reggie Theus,19015
68.,Dale Ellis,19004
69.,Scottie Pippen*,18940
70.,Jason Terry,18881
71.,Chet Walker*,18831
72.,Isiah Thomas*,18822
73.,Bob McAdoo*,18787
74.,Zach Randolph,18578
75.,Giannis Antetokounmpo,18502
76.,Mark Aguirre,18458
77.,Dolph Schayes*,18438
78.,Tracy McGrady*,18381
79.,Glen Rice,18336
80.,Dave Bing*,18327
81.,Paul George,18032
82.,World B. Free,17955
83.,Calvin Murphy*,17949
84.,Lou Hudson*,17940
85.,Chris Mullin*,17911
86.,Lenny Wilkens*,17772
87.,Bailey Howell*,17770
88.,Anthony Davis,17717
89.,Magic Johnson*,17707
90.,Shawn Marion,17700
91.,Rudy Gay,17642
92.,Rolando Blackman,17623
93.,Otis Thorpe,17600
94.,Jason Kidd*,17529
95.,Earl Monroe*,17454
96.,Ron Boone,17437
97.,Steve Nash*,17387
98.,Kevin McHale*,17335
99.,Michael Finley,17306
100.,Jack Sikma*,17287
101.,Kevin Willis,17253
102.,Jeff Malone,17231
103.,Kyrie Irving,17199
104.,Chris Bosh*,17189
105.,Chris Webber*,17182
106.,Grant Hill*,17137
107.,Spencer Haywood*,17111
108.,George McGinnis*,17009
109.,Bob Cousy*,16960
110.,Elton Brand,16827
111.,Buck Williams,16784
112.,Latrell Sprewell,16712
113.,Tiny Archibald*,16481
114.,Brook Lopez,16476
115.,Jerry Stackhouse,16409
116.,Joe Dumars*,16401
117.,Bradley Beal,16355
118.,James Worthy*,16320
119.,Billy Cunningham*,16310
120.,Stephon Marbury,16297
121.,Andre Miller,16278
122.,Paul Arizin*,16266
123.,Randy Smith,16262
124.,Kyle Lowry,16218
125.,Juwan Howard,16159
126.,Derek Harper,16006
,Rasheed Wallace,16006
128.,Amar'e Stoudemire,15994
129.,Kiki Vandeweghe,15980
130.,Pete Maravich*,15948
131.,Mike Conley,15888
