Division,Team
Pacific,Golden State Warriors
Pacific,Los Angeles Lakers
Pacific,Los Angeles Clippers
Pacific,Sacramento Kings
Pacific,Phoenix Suns
Atlantic,Toronto Raptors
Atlantic,Boston Celtics
Atlantic,New York Knicks
Atlantic,Brooklyn Nets
Atlantic,Philadelphia 76ers
Central,Cleveland Cavaliers
Central,Indiana Pacers
Central,Detroit Pistons
Central,Chicago Bulls
Central,Milwaukee Bucks
Southeast,Miami Heat
Southeast,Atlanta Hawks
Southeast,Charlotte Hornets
Southeast,Washington Wizards
Southeast,Orlando Magic
Northwest,Oklahoma City Thunder
Northwest,Portland Trailblazers
Northwest,Utah Jazz
Northwest,Denver Nuggets
Northwest,Minnesota Timberwolves
Southwest,San Antonio Spurs
Southwest,Dallas Mavericks
Southwest,Memphis Grizzlies
Southwest,Houston Rockets
Southwest,New Orleans Pelicans
