Rank,Player,HoF Prob
1.,LeBron James,1.0000
2.,Kevin Durant,1.0000
3.,Chris Paul,1.0000
4.,Stephen Curry,1.0000
5.,James Harden,0.9999
6.,Russell Westbrook,0.9993
7.,Anthony Davis,0.9960
8.,Damian Lillard,0.9871
9.,Giannis Antetokounmpo,0.9868
10.,Nikola Jokić,0.9804
11.,Paul George,0.9786
12.,Kyrie Irving,0.9345
13.,Kawhi Leonard,0.9131
14.,Kyle Lowry,0.8574
15.,Draymond Green,0.7682
16.,Kevin Love,0.7347
17.,Jimmy Butler,0.7298
18.,Klay Thompson,0.7021
19.,Joel Embiid,0.6622
20.,DeMar DeRozan,0.4635
21.,Luka Dončić,0.4120
22.,John Wall,0.3239
23.,Rudy Gobert,0.2596
24.,Karl-Anthony Towns,0.2264
25.,Jayson Tatum,0.1770
26.,Donovan Mitchell,0.1285
27.,Al Horford,0.1223
28.,Derrick Rose,0.1052
29.,Trae Young,0.0941
30.,Isaiah Thomas,0.0705
31.,Domantas Sabonis,0.0669
32.,Devin Booker,0.0489
33.,DeAndre Jordan,0.0374
34.,Bradley Beal,0.0226
35.,Khris Middleton,0.0173
36.,Andre Drummond,0.0166
37.,Julius Randle,0.0102
38.,Nikola Vučević,0.0092
39.,Mike Conley,0.0080
40.,Jalen Brunson,0.0077
41.,Pascal Siakam,0.0077
42.,Bam Adebayo,0.0076
43.,Jrue Holiday,0.0075
44.,Fred VanVleet,0.0075
45.,Victor Oladipo,0.0056
46.,Danny Green,0.0037
47.,Jaylen Brown,0.0032
48.,Brook Lopez,0.0030
49.,Gordon Hayward,0.0027
50.,Zach LaVine,0.0025
51.,Dejounte Murray,0.0017
52.,De'Aaron Fox,0.0017
53.,Jarrett Allen,0.0016
54.,Kevon Looney,0.0016
55.,Clint Capela,0.0012
56.,JaVale McGee,0.0011
57.,Otto Porter Jr.,0.0010
58.,Andrew Wiggins,0.0010
59.,George Hill,0.0009
60.,Mikal Bridges,0.0009
61.,Reggie Jackson,0.0009
62.,Tristan Thompson,0.0007
63.,Kentavious Caldwell-Pope,0.0007
64.,CJ McCollum,0.0006
65.,Derrick White,0.0006
66.,Patty Mills,0.0005
67.,P.J. Tucker,0.0005
68.,D'Angelo Russell,0.0005
69.,Lauri Markkanen,0.0004
70.,Wesley Matthews,0.0004
71.,Jamal Murray,0.0004
72.,Harrison Barnes,0.0004
73.,Ish Smith,0.0004
74.,Aaron Gordon,0.0004
75.,Montrezl Harrell,0.0004
76.,Myles Turner,0.0004
77.,Kristaps Porziņģis,0.0004
78.,Steven Adams,0.0004
79.,Jeff Green,0.0003
80.,Terry Rozier,0.0003
81.,Cory Joseph,0.0003
82.,Norman Powell,0.0003
83.,Jonas Valančiūnas,0.0003
84.,Robin Lopez,0.0003
85.,Bruce Brown,0.0003
86.,Tyus Jones,0.0003
87.,Nicolas Batum,0.0003
88.,Markieff Morris,0.0003
89.,Thaddeus Young,0.0003
90.,Jae Crowder,0.0003
91.,Derrick Favors,0.0003
92.,T.J. McConnell,0.0003
93.,Malcolm Brogdon,0.0003
94.,Marcus Smart,0.0002
95.,Bryn Forbes,0.0002
96.,Brandon Ingram,0.0002
97.,Jerami Grant,0.0002
98.,Spencer Dinwiddie,0.0002
99.,Tobias Harris,0.0002
100.,Buddy Hield,0.0002
