Rank,Player,Team(s),First,Last,Count,Player-additional
1,Bill Russell*,BOS,1957,1969,11,russebi01
2,Sam Jones*,BOS,1959,1969,10,jonessa01
3,John Havlicek*,BOS,1963,1976,8,havlijo01
4,Tom Heinsohn*,BOS,1957,1965,8,heinsto01
5,K.C. Jones*,BOS,1959,1966,8,joneskc01
6,Tom Sanders*,BOS,1961,1969,8,sandeto01
7,Robert Horry,HOU/LAL/SAS,1994,2007,7,horryro01
8,Jim Loscutoff,BOS,1957,1964,7,loscuji01
9,Frank Ramsey*,BOS,1957,1964,7,ramsefr01
10,Kareem Abdul-Jabbar*,MIL/LAL,1971,1988,6,abdulka01
11,Bob Cousy*,BOS,1957,1963,6,cousybo01
12,Michael Jordan*,CHI,1991,1998,6,jordami01
13,Scottie Pippen*,CHI,1991,1998,6,pippesc01
14,Kobe Bryant*,LAL,2000,2010,5,bryanko01
15,Michael Cooper*,LAL,1980,1988,5,coopemi01
16,Tim Duncan*,SAS,1999,2014,5,duncati01
17,Derek Fisher,LAL,2000,2010,5,fishede01
18,Ron Harper,CHI/LAL,1996,2001,5,harpero01
19,Magic Johnson*,LAL,1980,1988,5,johnsma02
20,Steve Kerr,CHI/SAS,1996,2003,5,kerrst01
