Rank,Team,Wins,Loses,Confrence,
1,Boston Celtics,64.0,18.0,e,
2,New York Knicks,50.0,32.0,e,
3,Milwaukee Bucks,49.0,33.0,e,
4,Cleveland Cavaliers,48.0,34.0,e,
5,Orlando Magic,47.0,35.0,e,
6,Indiana Pacers,47.0,35.0,e,
7,Philadelphia 76ers,47.0,35.0,e,
8,Miami Heat,46.0,36.0,e,
9,Chicago Bulls,39.0,43.0,e,
10,Atlanta Hawks,36.0,46.0,e,
11,Brooklyn Nets,32.0,50.0,e,
12,Toronto Raptors,25.0,57.0,e,
13,Charlotte Hornets,21.0,61.0,e,
14,Washington Wizards,15.0,67.0,e,
15,Detroit Pistons,14.0,68.0,e,
1,Oklahoma City Thunder,57.0,25.0,w,
2,Denver Nuggets,57.0,25.0,w,
3,Minnesota Timberwolves,56.0,26.0,w,
4,Los Angeles Clippers,51.0,31.0,w,
5,Dallas Mavericks,50.0,32.0,w,
6,Phoenix Suns,49.0,33.0,w,
7,Los Angeles Lakers,47.0,35.0,w,
8,New Orleans Pelicans,49.0,33.0,w,
9,Sacramento Kings,46.0,36.0,.561,w,
10,Golden State Warriors,46.0,36.0,w,
11,Houston Rockets,41.0,41.0,w,
12,Utah Jazz,31.0,51.0,.378,w,
13,Memphis Grizzlies,27.0,55.0,w,
14,San Antonio Spurs,22.0,60.0,w,
15,Portland Trail Blazers,21.0,61.0,w,
